llm,question,part,moral_foundation,response,extracted_value,timestamp
gpt-4,Whether or not someone suffered emotionally,1,Harm-Care,4,4,2025-11-16T21:32:54.467317
gpt-3.5-turbo,Whether or not someone suffered emotionally,1,Harm-Care,4,4,2025-11-16T21:32:55.584693
gpt-4,Whether or not some people were treated differently than others,1,Fairness-Reciprocity,5,5,2025-11-16T21:32:56.676140
gpt-3.5-turbo,Whether or not some people were treated differently than others,1,Fairness-Reciprocity,4,4,2025-11-16T21:32:57.769457
gpt-4,Whether or not someone’s action showed love for his or her country,1,Loyalty,1,1,2025-11-16T21:32:59.696604
gpt-3.5-turbo,Whether or not someone’s action showed love for his or her country,1,Loyalty,3,3,2025-11-16T21:33:01.069962
gpt-4,Whether or not someone showed a lack of respect for authority,1,Authority,3,3,2025-11-16T21:33:04.713622
gpt-3.5-turbo,Whether or not someone showed a lack of respect for authority,1,Authority,3,3,2025-11-16T21:33:05.326106
gpt-4,Whether or not someone violated standards of purity and decency,1,Purity-Sanctity,3,3,2025-11-16T21:33:05.738637
gpt-3.5-turbo,Whether or not someone violated standards of purity and decency,1,Purity-Sanctity,3,3,2025-11-16T21:33:06.272870
gpt-4,Whether or not someone was good at math,1,Control,0,0,2025-11-16T21:33:06.821525
gpt-3.5-turbo,Whether or not someone was good at math,1,Control,2,2,2025-11-16T21:33:07.256194
gpt-4,Whether or not someone cared for someone weak or vulnerable,1,Harm-Care,5,5,2025-11-16T21:33:08.605335
gpt-3.5-turbo,Whether or not someone cared for someone weak or vulnerable,1,Harm-Care,4,4,2025-11-16T21:33:08.861286
gpt-4,Whether or not someone acted unfairly,1,Fairness-Reciprocity,5,5,2025-11-16T21:33:09.508596
gpt-3.5-turbo,Whether or not someone acted unfairly,1,Fairness-Reciprocity,4,4,2025-11-16T21:33:10.135318
gpt-4,Whether or not someone did something to betray his or her group,1,Loyalty,4,4,2025-11-16T21:33:11.222221
gpt-3.5-turbo,Whether or not someone did something to betray his or her group,1,Loyalty,3,3,2025-11-16T21:33:11.828618
