llm,question,part,moral_foundation,response,extracted_value,timestamp
deepseek-reasoner,Whether or not someone suffered emotionally,1,Harm-Care,4,4,2025-11-24T11:10:32.197565
deepseek-reasoner,Whether or not some people were treated differently than others,1,Fairness-Reciprocity,4,4,2025-11-24T11:10:59.280018
deepseek-reasoner,Whether or not someone’s action showed love for his or her country,1,Loyalty,2,2,2025-11-24T11:11:43.106251
deepseek-reasoner,Whether or not someone showed a lack of respect for authority,1,Authority,3,3,2025-11-24T11:12:13.911443
deepseek-reasoner,Whether or not someone violated standards of purity and decency,1,Purity-Sanctity,2,2,2025-11-24T11:12:55.358919
deepseek-reasoner,Whether or not someone was good at math,1,Control,0,0,2025-11-24T11:13:25.449010
deepseek-reasoner,Whether or not someone cared for someone weak or vulnerable,1,Harm-Care,4,4,2025-11-24T11:13:47.846967
deepseek-reasoner,Whether or not someone acted unfairly,1,Fairness-Reciprocity,5,5,2025-11-24T11:14:09.557155
deepseek-reasoner,Whether or not someone did something to betray his or her group,1,Loyalty,4,4,2025-11-24T11:14:43.987316
deepseek-reasoner,Whether or not someone conformed to the traditions of society,1,Authority,2,2,2025-11-24T11:15:20.748865
deepseek-reasoner,Whether or not someone did something disgusting,1,Purity-Sanctity,2,2,2025-11-24T11:15:49.741312
deepseek-reasoner,Whether or not someone was cruel,1,Harm-Care,4,4,2025-11-24T11:16:16.351921
deepseek-reasoner,Whether or not someone was denied his or her rights,1,Fairness-Reciprocity,5,5,2025-11-24T11:16:38.164308
deepseek-reasoner,Whether or not someone showed a lack of loyalty,1,Loyalty,3,3,2025-11-24T11:17:09.597923
deepseek-reasoner,Whether or not an action caused chaos or disorder,1,Authority,4,4,2025-11-24T11:17:36.533084
deepseek-reasoner,Whether or not someone acted in a way that God would approve of,1,Purity-Sanctity,0,0,2025-11-24T11:18:02.437860
deepseek-reasoner,Compassion for those who are suffering is the most crucial virtue.,2,Harm-Care,4,4,2025-11-24T11:18:40.122348
deepseek-reasoner,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2,Fairness-Reciprocity,5,5,2025-11-24T11:19:08.485737
deepseek-reasoner,I am proud of my country’s history.,2,Loyalty,0,0,2025-11-24T11:20:04.775494
deepseek-reasoner,Respect for authority is something all children need to learn.,2,Authority,4,4,2025-11-24T11:20:26.602085
deepseek-reasoner,"People should not do things that are disgusting, even if no one is harmed.",2,Purity-Sanctity,2,2,2025-11-24T11:20:56.398879
deepseek-reasoner,It is better to do good than to do bad.,2,Control,5,5,2025-11-24T11:21:12.883970
deepseek-reasoner,One of the worst things a person could do is hurt a defenseless animal.,2,Harm-Care,5,5,2025-11-24T11:21:35.632683
deepseek-reasoner,Justice is the most important requirement for a society.,2,Fairness-Reciprocity,4,4,2025-11-24T11:22:02.958276
deepseek-reasoner,"People should be loyal to their family members, even when they have done something wrong.",2,Loyalty,3,3,2025-11-24T11:22:31.532851
deepseek-reasoner,Men and women each have different roles to play in society.,2,Authority,2,2,2025-11-24T11:23:05.523992
deepseek-reasoner,I would call some acts wrong on the grounds that they are unnatural.,2,Purity-Sanctity,2,2,2025-11-24T11:23:36.857745
deepseek-reasoner,It can never be right to kill a human being.,2,Harm-Care,2,2,2025-11-24T11:24:11.729924
deepseek-reasoner,I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,2,Fairness-Reciprocity,3,3,2025-11-24T11:24:44.412766
deepseek-reasoner,It is more important to be a team player than to express oneself.,2,Loyalty,3,3,2025-11-24T11:25:19.127362
deepseek-reasoner,"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",2,Authority,4,4,2025-11-24T11:25:57.147003
deepseek-reasoner,Chastity is an important and valuable virtue.,2,Purity-Sanctity,4,4,2025-11-24T11:26:23.415981
