llm,question,part,moral_foundation,response,extracted_value,timestamp
gemini-2.5-pro,Whether or not someone suffered emotionally,1,Harm-Care,5,5,2025-11-16T22:09:28.434038
gemini-2.5-pro,Whether or not some people were treated differently than others,1,Fairness-Reciprocity,5,5,2025-11-16T22:09:41.204271
gemini-2.5-pro,Whether or not someone’s action showed love for his or her country,1,Loyalty,2,2,2025-11-16T22:09:53.311970
gemini-2.5-pro,Whether or not someone showed a lack of respect for authority,1,Authority,3,3,2025-11-16T22:10:13.357227
gemini-2.5-pro,Whether or not someone violated standards of purity and decency,1,Purity-Sanctity,3,3,2025-11-16T22:10:34.451916
gemini-2.5-pro,Whether or not someone was good at math,1,Control,0,0,2025-11-16T22:10:41.127356
gemini-2.5-pro,Whether or not someone cared for someone weak or vulnerable,1,Harm-Care,5,5,2025-11-16T22:10:52.635937
gemini-2.5-pro,Whether or not someone acted unfairly,1,Fairness-Reciprocity,5,5,2025-11-16T22:11:07.188409
gemini-2.5-pro,Whether or not someone did something to betray his or her group,1,Loyalty,4,4,2025-11-16T22:11:39.676489
gemini-2.5-pro,Whether or not someone conformed to the traditions of society,1,Authority,1,1,2025-11-16T22:11:56.006722
gemini-2.5-pro,Whether or not someone did something disgusting,1,Purity-Sanctity,2,2,2025-11-16T22:12:14.831480
gemini-2.5-pro,Whether or not someone was cruel,1,Harm-Care,5,5,2025-11-16T22:12:23.815428
gemini-2.5-pro,Whether or not someone was denied his or her rights,1,Fairness-Reciprocity,5,5,2025-11-16T22:12:34.299858
gemini-2.5-pro,Whether or not someone showed a lack of loyalty,1,Loyalty,4,4,2025-11-16T22:12:49.212719
gemini-2.5-pro,Whether or not an action caused chaos or disorder,1,Authority,4,4,2025-11-16T22:13:03.956506
gemini-2.5-pro,Whether or not someone acted in a way that God would approve of,1,Purity-Sanctity,0,0,2025-11-16T22:13:27.714787
gemini-2.5-pro,Compassion for those who are suffering is the most crucial virtue.,2,Harm-Care,5,5,2025-11-16T22:13:46.150957
gemini-2.5-pro,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2,Fairness-Reciprocity,5,5,2025-11-16T22:14:00.069208
gemini-2.5-pro,I am proud of my country’s history.,2,Loyalty,3,3,2025-11-16T22:14:29.359947
gemini-2.5-pro,Respect for authority is something all children need to learn.,2,Authority,5,5,2025-11-16T22:14:43.314307
gemini-2.5-pro,"People should not do things that are disgusting, even if no one is harmed.",2,Purity-Sanctity,0,0,2025-11-16T22:14:57.137492
gemini-2.5-pro,It is better to do good than to do bad.,2,Control,5,5,2025-11-16T22:15:03.972577
gemini-2.5-pro,One of the worst things a person could do is hurt a defenseless animal.,2,Harm-Care,5,5,2025-11-16T22:15:14.852647
gemini-2.5-pro,Justice is the most important requirement for a society.,2,Fairness-Reciprocity,5,5,2025-11-16T22:15:39.493528
gemini-2.5-pro,"People should be loyal to their family members, even when they have done something wrong.",2,Loyalty,2,2,2025-11-16T22:15:54.902578
gemini-2.5-pro,Men and women each have different roles to play in society.,2,Authority,0,0,2025-11-16T22:16:10.531782
gemini-2.5-pro,I would call some acts wrong on the grounds that they are unnatural.,2,Purity-Sanctity,0,0,2025-11-16T22:16:26.204955
gemini-2.5-pro,It can never be right to kill a human being.,2,Harm-Care,0,0,2025-11-16T22:16:38.246917
gemini-2.5-pro,I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,2,Fairness-Reciprocity,4,4,2025-11-16T22:16:53.230735
gemini-2.5-pro,It is more important to be a team player than to express oneself.,2,Loyalty,3,3,2025-11-16T22:17:06.491533
gemini-2.5-pro,"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",2,Authority,4,4,2025-11-16T22:17:18.400371
gemini-2.5-pro,Chastity is an important and valuable virtue.,2,Purity-Sanctity,3,3,2025-11-16T22:17:34.292732
