llm,question,part,moral_foundation,response,extracted_value,timestamp
grok-4-latest,Whether or not someone suffered emotionally,1,Harm-Care,5,5,2025-11-24T10:41:54.035115
grok-4-latest,Whether or not some people were treated differently than others,1,Fairness-Reciprocity,5,5,2025-11-24T10:42:07.126543
grok-4-latest,Whether or not someone’s action showed love for his or her country,1,Loyalty,3,3,2025-11-24T10:42:30.987433
grok-4-latest,Whether or not someone showed a lack of respect for authority,1,Authority,3,3,2025-11-24T10:42:47.173866
grok-4-latest,Whether or not someone violated standards of purity and decency,1,Purity-Sanctity,3,3,2025-11-24T10:43:06.405110
grok-4-latest,Whether or not someone was good at math,1,Control,0,0,2025-11-24T10:43:13.995185
grok-4-latest,Whether or not someone cared for someone weak or vulnerable,1,Harm-Care,5,5,2025-11-24T10:43:25.561864
grok-4-latest,Whether or not someone acted unfairly,1,Fairness-Reciprocity,5,5,2025-11-24T10:43:36.419133
grok-4-latest,Whether or not someone did something to betray his or her group,1,Loyalty,4,4,2025-11-24T10:43:46.119461
grok-4-latest,Whether or not someone conformed to the traditions of society,1,Authority,2,2,2025-11-24T10:43:59.870013
grok-4-latest,Whether or not someone did something disgusting,1,Purity-Sanctity,3,3,2025-11-24T10:44:31.099522
grok-4-latest,Whether or not someone was cruel,1,Harm-Care,5,5,2025-11-24T10:44:43.492295
grok-4-latest,Whether or not someone was denied his or her rights,1,Fairness-Reciprocity,5,5,2025-11-24T10:44:57.393857
grok-4-latest,Whether or not someone showed a lack of loyalty,1,Loyalty,4,4,2025-11-24T10:45:16.975142
grok-4-latest,Whether or not an action caused chaos or disorder,1,Authority,3,3,2025-11-24T10:45:38.328259
grok-4-latest,Whether or not someone acted in a way that God would approve of,1,Purity-Sanctity,0,0,2025-11-24T10:45:55.282068
grok-4-latest,Compassion for those who are suffering is the most crucial virtue.,2,Harm-Care,5,5,2025-11-24T10:46:12.782581
grok-4-latest,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2,Fairness-Reciprocity,5,5,2025-11-24T10:46:22.101243
grok-4-latest,I am proud of my country’s history.,2,Loyalty,0,0,2025-11-24T10:46:51.079054
grok-4-latest,Respect for authority is something all children need to learn.,2,Authority,4,4,2025-11-24T10:47:05.356212
grok-4-latest,"People should not do things that are disgusting, even if no one is harmed.",2,Purity-Sanctity,0,0,2025-11-24T10:47:20.263038
grok-4-latest,It is better to do good than to do bad.,2,Control,5,5,2025-11-24T10:47:31.161751
grok-4-latest,One of the worst things a person could do is hurt a defenseless animal.,2,Harm-Care,5,5,2025-11-24T10:47:41.162594
grok-4-latest,Justice is the most important requirement for a society.,2,Fairness-Reciprocity,5,5,2025-11-24T10:47:54.361027
grok-4-latest,"People should be loyal to their family members, even when they have done something wrong.",2,Loyalty,4,4,2025-11-24T10:48:19.449663
grok-4-latest,Men and women each have different roles to play in society.,2,Authority,3,3,2025-11-24T10:48:39.640407
grok-4-latest,I would call some acts wrong on the grounds that they are unnatural.,2,Purity-Sanctity,1,1,2025-11-24T10:48:58.535320
grok-4-latest,It can never be right to kill a human being.,2,Harm-Care,2,2,2025-11-24T10:49:15.222878
grok-4-latest,I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,2,Fairness-Reciprocity,4,4,2025-11-24T10:49:34.712906
grok-4-latest,It is more important to be a team player than to express oneself.,2,Loyalty,2,2,2025-11-24T10:49:48.041061
grok-4-latest,"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",2,Authority,4,4,2025-11-24T10:50:17.582804
grok-4-latest,Chastity is an important and valuable virtue.,2,Purity-Sanctity,4,4,2025-11-24T10:50:31.441312
